"","fetched.symbol","fetched.date","fetched.status"
"173","WBIE",2016-10-02,"success"
"174","CATH",2016-10-02,"success"
"175","SYG",2016-10-02,"success"
"176","PSET",2016-10-02,"success"
"177","FDMO",2016-10-02,"success"
"178","MILN",2016-10-02,"success"
"179","LEAD",2016-10-02,"success"
"180","CAPX",2016-10-02,"success"
"181","WIZE",2016-10-02,"success"
"182","SPMO",2016-10-02,"success"
"183","IWD",2016-10-02,"success"
"184","VTV",2016-10-02,"success"
"185","VIG",2016-10-02,"success"
"186","DVY",2016-10-02,"success"
"187","VYM",2016-10-02,"success"
"188","SDY",2016-10-02,"success"
"189","DIA",2016-10-02,"success"
"190","IVE",2016-10-02,"success"
"191","HDV",2016-10-02,"success"
"192","PRF",2016-10-02,"success"
"193","SPHD",2016-10-02,"success"
"194","FVD",2016-10-02,"success"
"195","SCHV",2016-10-02,"success"
"196","NOBL",2016-10-02,"success"
"197","DLN",2016-10-02,"success"
"198","FDL",2016-10-02,"success"
"199","SDOG",2016-10-02,"success"
"200","FNDX",2016-10-02,"success"
"201","MGV",2016-10-02,"success"
"202","DHS",2016-10-02,"success"
"203","PWV",2016-10-02,"success"
"204","DTN",2016-10-02,"success"
"205","IUSV",2016-10-02,"success"
"206","FTA",2016-10-02,"success"
"207","VLUE",2016-10-02,"success"
"208","RPV",2016-10-02,"success"
"209","DGRW",2016-10-02,"success"
"210","VONV",2016-10-02,"success"
"211","DGRO",2016-10-02,"success"
"212","DTD",2016-10-02,"success"
"213","VOOV",2016-10-02,"success"
"214","CVY",2016-10-02,"success"
"215","DIV",2016-10-02,"success"
"216","JKF",2016-10-02,"success"
"217","PFM",2016-10-02,"success"
"218","OUSA",2016-10-02,"success"
"219","FTCS",2016-10-02,"success"
"220","SPYV",2016-10-02,"success"
"221","CDC",2016-10-02,"success"
"222","EZY",2016-10-02,"success"
"223","RDIV",2016-10-02,"success"
"224","DEF",2016-10-02,"success"
"225","IWX",2016-10-02,"success"
"226","SYLD",2016-10-02,"success"
"227","EPS",2016-10-02,"success"
"228","LRGF",2016-10-02,"success"
"229","DIVC",2016-10-02,"success"
"230","WBIG",2016-10-02,"success"
"231","DVP",2016-10-02,"success"
"232","WBIL",2016-10-02,"success"
"233","CDL",2016-10-02,"success"
"234","PXLV",2016-10-02,"success"
"235","WBIF",2016-10-02,"success"
"236","EXT",2016-10-02,"success"
"237","QVAL",2016-10-02,"success"
"238","DOD",2016-10-02,"success"
"239","ROUS",2016-10-02,"success"
"240","IELG",2016-10-02,"success"
"241","RDVY",2016-10-02,"success"
"242","FDVV",2016-10-02,"success"
"243","SBUS",2016-10-02,"success"
"244","FTHI",2016-10-02,"success"
"245","FVAL",2016-10-02,"success"
"246","FTLB",2016-10-02,"success"
"247","SYV",2016-10-02,"success"
"248","SPVU",2016-10-02,"success"
"249","IJH",2016-10-02,"success"
"250","MDY",2016-10-02,"success"
"251","VO",2016-10-02,"success"
"252","IWR",2016-10-02,"success"
"253","VXF",2016-10-02,"success"
"254","SCHM",2016-10-02,"success"
"255","XMLV",2016-10-02,"success"
"256","FNX",2016-10-02,"success"
"257","JKG",2016-10-02,"success"
"258","IVOO",2016-10-02,"success"
"259","RWK",2016-10-02,"success"
"260","REGL",2016-10-02,"success"
"261","CZA",2016-10-02,"success"
"262","JHMM",2016-10-02,"success"
"263","JPME",2016-10-02,"success"
"264","EQWM",2016-10-02,"success"
"265","PTMC",2016-10-02,"success"
"266","WP",2016-10-02,"success"
"267","IJK",2016-10-02,"success"
"268","VOT",2016-10-02,"success"
"269","RFG",2016-10-02,"success"
"270","IVOG",2016-10-02,"success"
"271","MDYG",2016-10-02,"success"
"272","JKH",2016-10-02,"success"
"273","FNY",2016-10-02,"success"
"274","WBIA",2016-10-02,"success"
"275","PXMG",2016-10-02,"success"
"276","JSMD",2016-10-02,"success"
"277","IWS",2016-10-02,"success"
"278","VOE",2016-10-02,"success"
"279","IJJ",2016-10-02,"success"
"280","DON",2016-10-02,"success"
"281","EZM",2016-10-02,"success"
"282","IVOV",2016-10-02,"success"
"283","MDYV",2016-10-02,"success"
"284","JKI",2016-10-02,"success"
"285","SMDV",2016-10-02,"success"
"286","RFV",2016-10-02,"success"
"287","WBIC",2016-10-02,"success"
"288","WBID",2016-10-02,"success"
"289","WBIB",2016-10-02,"success"
"290","FNK",2016-10-02,"success"
"291","PXMV",2016-10-02,"success"
"292","WM",2016-10-02,"success"
"293","IJR",2016-10-02,"success"
"294","VB",2016-10-02,"success"
"295","SCHA",2016-10-02,"success"
"296","PRFZ",2016-10-02,"success"
"297","IWC",2016-10-02,"success"
"298","VTWO",2016-10-02,"success"
"299","XSLV",2016-10-02,"success"
"300","SLY",2016-10-02,"success"
"301","FYX",2016-10-02,"success"
"302","VIOO",2016-10-02,"success"
"303","RWJ",2016-10-02,"success"
"304","JKJ",2016-10-02,"success"
"305","DWAS",2016-10-02,"success"
"306","SMLV",2016-10-02,"success"
"307","TWOK",2016-10-02,"success"
"308","EWMC",2016-10-02,"success"
"309","DGRS",2016-10-02,"success"
"310","FDM",2016-10-02,"success"
"311","EWSC",2016-10-02,"success"
"312","CSF",2016-10-02,"success"
"313","WMCR",2016-10-02,"success"
"314","PZI",2016-10-02,"success"
"315","CSA",2016-10-02,"success"
"316","EQWS",2016-10-02,"success"
"317","SMMV",2016-10-02,"success"
"318","SMLL",2016-10-02,"success"
"319","ZSML",2016-10-02,"success"
"320","IWO",2016-10-02,"success"
"321","VBK",2016-10-02,"success"
"322","IJT",2016-10-02,"success"
"323","SLYG",2016-10-02,"success"
"324","RZG",2016-10-02,"success"
"325","VTWG",2016-10-02,"success"
"326","VIOG",2016-10-02,"success"
"327","JKK",2016-10-02,"success"
"328","RSCO",2016-10-02,"success"
"329","FYC",2016-10-02,"success"
"330","FFTY",2016-10-02,"success"
"331","PXSG",2016-10-02,"success"
"332","SMCP",2016-10-02,"success"
"333","JSML",2016-10-02,"success"
"334","SCAP",2016-10-02,"success"
"335","VBR",2016-10-02,"success"
"336","IWN",2016-10-02,"success"
"337","IJS",2016-10-02,"success"
"338","DES",2016-10-02,"success"
"339","FNDA",2016-10-02,"success"
"340","SLYV",2016-10-02,"success"
"341","JKL",2016-10-02,"success"
"342","EES",2016-10-02,"success"
"343","RZV",2016-10-02,"success"
"344","VIOV",2016-10-02,"success"
"345","VTWV",2016-10-02,"success"
"346","PXSV",2016-10-02,"success"
"347","FYT",2016-10-02,"success"
"348","CSB",2016-10-02,"success"
"349","SMLF",2016-10-02,"success"
"350","IESM",2016-10-02,"success"
"351","DESC",2016-10-02,"success"
